"lnr" "Klasse" "Gesch" "Alter" "Groesse" "Gewicht" "Mathe" "Physik" "Deutsch" "Bio"
1 6 "w" 12 124 42 3 NA 2 3
2 5 "w" 12 146 39 4 NA 2 2
3 10 "w" 17 174 64 4 3 5 2
4 8 "w" 15 138 53 5 6 4 3
5 8 "w" 15 147 56 5 4 3 2
6 9 "m" 16 162 65 2 2 4 2
7 6 "w" 14 141 49 2 NA 2 3
8 10 "w" 16 166 60 5 5 1 3
9 6 "w" 13 152 44 4 NA 2 2
10 5 "w" 12 151 39 5 NA 4 4
11 6 "w" 13 154 46 2 NA 2 1
12 5 "w" 12 163 41 1 NA 5 1
13 6 "m" 12 139 47 5 NA 5 4
14 7 "w" 14 145 51 4 NA 5 5
15 8 "w" 14 157 49 5 5 4 2
16 7 "w" 14 159 49 4 NA 2 3
17 9 "w" 15 149 55 1 2 3 2
18 6 "m" 13 144 49 1 NA 3 1
19 11 "m" 17 190 71 5 5 3 2
20 6 "m" 12 150 46 3 NA 2 3
21 9 "w" 17 165 65 3 6 5 1
22 5 "w" 13 151 47 2 NA 5 4
23 10 "w" 17 154 65 5 3 4 4
24 10 "w" 16 170 62 2 2 2 1
25 10 "w" 16 168 61 5 3 5 4
