"Lnr" "Unfall" "Geschlecht" "Beruf" "Alter" "Fahrpraxis"
1 0 "Mann" "Physiker" 31 12
2 0 "Frau" "Physiker" 37 18
3 0 "Frau" "Physiker" 38 18
4 0 "Frau" "Physiker" 44 25
5 0 "Frau" "Physiker" 52 33
6 0 "Mann" "Physiker" 41 22
7 0 "Frau" "Physiker" 34 14
8 0 "Frau" "Physiker" 52 33
9 0 "Frau" "Physiker" 57 38
10 0 "Frau" "Physiker" 49 31
11 0 "Mann" "Physiker" 54 36
12 0 "Frau" "Physiker" 27 9
13 0 "Frau" "Physiker" 40 21
14 0 "Frau" "Physiker" 35 17
15 0 "Frau" "Physiker" 50 31
16 0 "Frau" "Physiker" 56 37
17 0 "Mann" "Physiker" 36 17
18 0 "Frau" "Physiker" 46 27
19 0 "Frau" "Physiker" 46 26
20 0 "Frau" "Physiker" 48 29
21 0 "Frau" "Physiker" 34 16
22 0 "Frau" "Physiker" 58 40
23 0 "Mann" "Physiker" 50 31
24 0 "Frau" "Physiker" 28 9
25 0 "Frau" "Physiker" 59 40
26 0 "Mann" "Physiker" 54 35
27 0 "Mann" "Physiker" 34 14
28 0 "Frau" "Physiker" 43 25
29 0 "Mann" "Physiker" 55 37
30 0 "Mann" "Physiker" 41 21
31 0 "Mann" "Physiker" 37 17
32 0 "Frau" "Physiker" 38 20
33 0 "Frau" "Physiker" 33 14
34 0 "Frau" "Physiker" 62 43
35 0 "Frau" "Physiker" 40 20
36 0 "Frau" "Physiker" 53 34
37 0 "Frau" "Physiker" 32 13
38 0 "Frau" "Physiker" 50 30
39 0 "Frau" "Physiker" 43 24
40 0 "Mann" "Physiker" 46 28
41 0 "Mann" "Physiker" 50 30
42 0 "Frau" "Physiker" 36 17
43 0 "Frau" "Physiker" 45 27
44 0 "Mann" "Physiker" 32 12
45 0 "Frau" "Physiker" 33 15
46 0 "Mann" "Physiker" 42 23
47 0 "Mann" "Physiker" 43 25
48 0 "Mann" "Physiker" 41 22
49 0 "Frau" "Physiker" 51 31
50 0 "Mann" "Physiker" 59 39
51 0 "Mann" "Physiker" 51 32
52 0 "Frau" "Physiker" 52 33
53 0 "Mann" "Physiker" 47 27
54 0 "Frau" "Physiker" 46 28
55 0 "Frau" "Physiker" 55 37
56 0 "Frau" "Physiker" 41 22
57 0 "Frau" "Physiker" 52 34
58 0 "Frau" "Physiker" 36 18
59 0 "Frau" "Physiker" 39 20
60 0 "Mann" "Physiker" 45 27
61 0 "Frau" "Physiker" 55 35
62 0 "Frau" "Physiker" 42 22
63 0 "Mann" "Physiker" 49 30
64 0 "Mann" "Physiker" 52 33
65 0 "Frau" "Physiker" 40 22
66 0 "Frau" "Physiker" 52 33
67 0 "Mann" "Physiker" 51 31
68 0 "Frau" "Physiker" 50 30
69 0 "Frau" "Physiker" 34 15
70 0 "Mann" "Physiker" 44 24
71 0 "Mann" "Physiker" 42 22
72 0 "Frau" "Physiker" 37 18
73 0 "Mann" "Physiker" 51 33
74 0 "Mann" "Physiker" 38 19
75 0 "Frau" "Physiker" 44 25
76 0 "Frau" "Physiker" 57 39
77 0 "Mann" "Physiker" 58 39
78 0 "Frau" "Physiker" 37 19
79 1 "Frau" "Physiker" 27 8
80 0 "Mann" "Physiker" 33 15
81 0 "Frau" "Physiker" 49 31
82 0 "Frau" "Physiker" 43 25
83 0 "Mann" "Physiker" 48 28
84 0 "Mann" "Physiker" 49 30
85 0 "Frau" "Physiker" 47 28
86 0 "Mann" "Physiker" 63 44
87 0 "Frau" "Physiker" 41 22
88 0 "Frau" "Physiker" 45 25
89 0 "Mann" "Physiker" 49 30
90 0 "Frau" "Physiker" 43 25
91 1 "Frau" "Physiker" 25 5
92 0 "Mann" "Physiker" 45 25
93 0 "Mann" "Physiker" 51 31
94 0 "Frau" "Physiker" 35 15
95 0 "Frau" "Physiker" 41 22
96 0 "Mann" "Physiker" 47 28
97 0 "Mann" "Physiker" 41 21
98 0 "Mann" "Physiker" 39 19
99 0 "Frau" "Physiker" 38 19
100 0 "Frau" "Physiker" 55 37
101 0 "Frau" "Physiker" 56 38
102 0 "Frau" "Physiker" 33 13
103 0 "Mann" "Physiker" 44 25
104 0 "Frau" "Physiker" 47 29
