"Lnr" "Unfall" "Geschlecht" "Beruf" "Alter" "Fahrpraxis" "Zeit"
1 0 "Mann" "Physiker" 31 12 5
2 0 "Frau" "Physiker" 37 18 15
3 0 "Frau" "Physiker" 38 18 7
4 0 "Frau" "Physiker" 44 25 64
5 0 "Frau" "Physiker" 52 33 19
6 0 "Mann" "Physiker" 41 22 70
7 0 "Frau" "Physiker" 34 14 8
8 0 "Frau" "Physiker" 52 33 2
9 0 "Frau" "Physiker" 57 38 9
10 0 "Frau" "Physiker" 49 31 57
11 0 "Mann" "Physiker" 54 36 21
12 0 "Frau" "Physiker" 27 9 59
13 0 "Frau" "Physiker" 40 21 42
14 0 "Frau" "Physiker" 35 17 4
15 0 "Frau" "Physiker" 50 31 3
16 0 "Frau" "Physiker" 56 37 8
17 0 "Mann" "Physiker" 36 17 3
18 0 "Frau" "Physiker" 46 27 3
19 0 "Frau" "Physiker" 46 26 30
20 0 "Frau" "Physiker" 48 29 29
21 0 "Frau" "Physiker" 34 16 130
22 0 "Frau" "Physiker" 58 40 32
23 0 "Mann" "Physiker" 50 31 2
24 0 "Frau" "Physiker" 28 9 3
25 0 "Frau" "Physiker" 59 40 10
26 0 "Mann" "Physiker" 54 35 1
27 0 "Mann" "Physiker" 34 14 19
28 0 "Frau" "Physiker" 43 25 25
29 0 "Mann" "Physiker" 55 37 18
30 0 "Mann" "Physiker" 41 21 39
31 0 "Mann" "Physiker" 37 17 21
32 0 "Frau" "Physiker" 38 20 30
33 0 "Frau" "Physiker" 33 14 15
34 0 "Frau" "Physiker" 62 43 49
35 0 "Frau" "Physiker" 40 20 8
36 0 "Frau" "Physiker" 53 34 73
37 0 "Frau" "Physiker" 32 13 22
38 0 "Frau" "Physiker" 50 30 72
39 0 "Frau" "Physiker" 43 24 78
40 0 "Mann" "Physiker" 46 28 8
41 0 "Mann" "Physiker" 50 30 19
42 0 "Frau" "Physiker" 36 17 16
43 0 "Frau" "Physiker" 45 27 75
44 0 "Mann" "Physiker" 32 12 7
45 0 "Frau" "Physiker" 33 15 23
46 0 "Mann" "Physiker" 42 23 9
47 0 "Mann" "Physiker" 43 25 8
48 0 "Mann" "Physiker" 41 22 12
49 0 "Frau" "Physiker" 51 31 56
50 0 "Mann" "Physiker" 59 39 44
51 0 "Mann" "Physiker" 51 32 6
52 0 "Frau" "Physiker" 52 33 34
53 0 "Mann" "Physiker" 47 27 17
54 0 "Frau" "Physiker" 46 28 11
55 0 "Frau" "Physiker" 55 37 60
56 0 "Frau" "Physiker" 41 22 45
57 0 "Frau" "Physiker" 52 34 4
58 0 "Frau" "Physiker" 36 18 8
59 0 "Frau" "Physiker" 39 20 13
60 0 "Mann" "Physiker" 45 27 1
61 0 "Frau" "Physiker" 55 35 20
62 0 "Frau" "Physiker" 42 22 11
63 0 "Mann" "Physiker" 49 30 7
64 0 "Mann" "Physiker" 52 33 26
65 0 "Frau" "Physiker" 40 22 13
66 0 "Frau" "Physiker" 52 33 60
67 0 "Mann" "Physiker" 51 31 9
68 0 "Frau" "Physiker" 50 30 1
69 0 "Frau" "Physiker" 34 15 25
70 0 "Mann" "Physiker" 44 24 3
71 0 "Mann" "Physiker" 42 22 39
72 0 "Frau" "Physiker" 37 18 3
73 0 "Mann" "Physiker" 51 33 18
74 0 "Mann" "Physiker" 38 19 7
75 0 "Frau" "Physiker" 44 25 42
76 0 "Frau" "Physiker" 57 39 71
